table,scope,key,bin_order,actual_mass,iid_mass,delta,ratio,abs_delta,L1_share,from_bin,from_actual_mass,from_iid_mass,conditional_actual,conditional_iid,conditional_delta,abs_conditional_delta
transition,balanced|deep_32_63|odd,64-95 -> 64-95,6,0.008718442642688328,0.00913487137436809,-0.00041642873167976185,0.9544132900603027,0.00041642873167976185,0.03739388131342503,64-95,0.01035843414664162,0.01093430125308194,0.8416757319942024,0.8354325679286856,0.0062431640655168374,0.0062431640655168374
transition,balanced|exhaustion_0_31|even,0-1 -> 0-1,0,0.038334516811367535,0.03963242019615154,-0.0012979033847840063,0.9672514729516811,0.0012979033847840063,0.04060572915454971,0-1,0.038334516811367535,0.03963242019615154,1.0,1.0,0.0,0.0
transition,balanced|exhaustion_0_31|even,2-3 -> 0-1,1,0.038334516811367535,0.03963242019615154,-0.0012979033847840063,0.9672514729516811,0.0012979033847840063,0.04060572915454971,2-3,0.06681294811963324,0.06898469607692104,0.5737587981109127,0.5745103254779815,-0.0007515273670688494,0.0007515273670688494
transition,balanced|exhaustion_0_31|even,2-3 -> 2-3,1,0.028478431308269176,0.029352275880725406,-0.0008738445724562303,0.970229069254897,0.0008738445724562303,0.027338780719980933,2-3,0.06681294811963324,0.06898469607692104,0.42624120188913917,0.42548967452137937,0.0007515273677597967,0.0007515273677597967
transition,balanced|exhaustion_0_31|even,4-7 -> 2-3,2,0.038334516811367535,0.03963242019615154,-0.0012979033847840063,0.9672514729516811,0.0012979033847840063,0.04060572915454971,4-7,0.11814863985184021,0.12203018775562899,0.3244600772335549,0.3247755405860496,-0.0003154633524947159,0.0003154633524947159
transition,balanced|exhaustion_0_31|even,4-7 -> 4-7,2,0.07981412304045328,0.08239776755943,-0.0025836445189767188,0.9686442412761578,0.0025836445189767188,0.08083095459887756,4-7,0.11814863985184021,0.12203018775562899,0.6755399227662809,0.6752244594135616,0.00031546335271936954,0.00031546335271936954
transition,balanced|exhaustion_0_31|even,8-15 -> 4-7,3,0.038334516811367535,0.03963242019615154,-0.0012979033847840063,0.9672514729516811,0.0012979033847840063,0.04060572915454971,8-15,0.2114041162789645,0.21850151886720154,0.18133287793120403,0.18138281327114664,-4.99353399426028e-05,4.99353399426028e-05
transition,balanced|exhaustion_0_31|even,8-15 -> 8-15,3,0.17306959946758496,0.17886909867099474,-0.005799499203409775,0.9675768523098718,0.005799499203409775,0.1814410045050266,8-15,0.2114041162789645,0.21850151886720154,0.8186671220687392,0.8186171867286004,4.993534013875145e-05,4.993534013875145e-05
transition,balanced|exhaustion_0_31|even,16-31 -> 16-31,4,0.3114350188786005,0.32280368792411945,-0.011368669045518975,0.9647814771924434,0.011368669045518975,0.3556760091097848,16-31,0.34976953568990843,0.362436108120459,0.8904006412802806,0.8906499123338799,-0.00024927105359928703,0.00024927105359928703
transition,balanced|exhaustion_0_31|even,16-31 -> 8-15,4,0.038334516811367535,0.03963242019615154,-0.0012979033847840063,0.9672514729516811,0.0012979033847840063,0.04060572915454971,16-31,0.34976953568990843,0.362436108120459,0.1095993587198897,0.1093500876656013,0.00024927105428840246,0.00024927105428840246
transition,balanced|exhaustion_0_31|even,32-63 -> 16-31,5,0.020553629821538327,0.020934452041710384,-0.0003808222201720571,0.9818088278874796,0.0003808222201720571,0.011914264273926873,32-63,0.12070896260741852,0.12555734156102766,0.17027426445859575,0.16673220204758085,0.0035420624110149013,0.0035420624110149013
transition,balanced|exhaustion_0_31|even,32-63 -> 32-63,5,0.1001553327858736,0.10462288951934254,-0.004467556733468936,0.9572984769012427,0.004467556733468936,0.13977034101965455,32-63,0.12070896260741852,0.12555734156102766,0.8297257355413497,0.8332677979526204,-0.003542062411270752,0.003542062411270752
transition,balanced|exhaustion_0_31|odd,0-1 -> 0-1,0,0.02593573052883089,0.026350209046775146,-0.0004144785179442563,0.9842703897639483,0.0004144785179442563,0.044651593229529614,0-1,0.02593573052883089,0.026350209046775146,1.0,1.0,0.0,0.0
transition,balanced|exhaustion_0_31|odd,2-3 -> 0-1,1,0.02593573052883089,0.026350209046775146,-0.0004144785179442563,0.9842703897639483,0.0004144785179442563,0.044651593229529614,2-3,0.04541576095224017,0.04584846019894689,0.5710733451346385,0.5747239696259285,-0.0036506244912900554,0.0036506244912900554
transition,balanced|exhaustion_0_31|odd,2-3 -> 2-3,1,0.019480030423402135,0.019498251152187347,-1.822072878521208e-05,0.9990655198436518,1.822072878521208e-05,0.001962911308644206,2-3,0.04541576095224017,0.04584846019894689,0.42892665486520415,0.4252760303744118,0.0036506244907923424,0.0036506244907923424
transition,balanced|exhaustion_0_31|odd,4-7 -> 2-3,2,0.02593573052883089,0.026350209046775146,-0.0004144785179442563,0.9842703897639483,0.0004144785179442563,0.044651593229529614,4-7,0.07954981595870102,0.08113539666821096,0.3260313077568357,0.3247683517778279,0.0012629559790077738,0.0012629559790077738
transition,balanced|exhaustion_0_31|odd,4-7 -> 4-7,2,0.05361408542991271,0.05478518762142912,-0.001171102191516414,0.9786237440746057,0.001171102191516414,0.12616233754443787,4-7,0.07954981595870102,0.08113539666821096,0.6739686922436996,0.6752316482220896,-0.0012629559783899902,0.0012629559783899902
transition,balanced|exhaustion_0_31|odd,8-15 -> 4-7,3,0.02593573052883089,0.026350209046775146,-0.0004144785179442563,0.9842703897639483,0.0004144785179442563,0.044651593229529614,8-15,0.14234409663079436,0.14520060410281183,0.1822044689081965,0.18147451389470404,0.0007299550134924615,0.0007299550134924615
transition,balanced|exhaustion_0_31|odd,8-15 -> 8-15,3,0.11640836610190876,0.11885039505588456,-0.0024420289539758,0.979452916813381,0.0024420289539758,0.2630787333647195,8-15,0.14234409663079436,0.14520060410281183,0.8177955310914191,0.8185254861042482,-0.000729955012829131,0.000729955012829131
transition,balanced|exhaustion_0_31|odd,16-31 -> 16-31,4,0.21350851019026745,0.2153202706530982,-0.0018117604628307415,0.9915857412897754,0.0018117604628307415,0.19518017873858215,16-31,0.23944424071911943,0.24167047969987365,0.8916836318511584,0.8909663725602758,0.0007172592908826214,0.0007172592908826214
transition,balanced|exhaustion_0_31|odd,16-31 -> 8-15,4,0.02593573052883089,0.026350209046775146,-0.0004144785179442563,0.9842703897639483,0.0004144785179442563,0.044651593229529614,16-31,0.23944424071911943,0.24167047969987365,0.10831636814875348,0.10903362743972292,-0.0007172592909694409,0.0007172592909694409
transition,balanced|exhaustion_0_31|odd,32-63 -> 16-31,5,0.01405438573956366,0.014055387539266283,-1.00179970262404e-06,0.9999287248608532,1.00179970262404e-06,0.00010792345292319448,32-63,0.08327392121547714,0.08504091861309014,0.1687729547789271,0.16527793641569122,0.0034950183632358744,0.0034950183632358744
transition,balanced|exhaustion_0_31|odd,32-63 -> 32-63,5,0.06921953547595118,0.07098553107388594,-0.0017659955979347636,0.9751217526837038,0.0017659955979347636,0.19024994944304502,32-63,0.08327392121547714,0.08504091861309014,0.8312270452215257,0.8347220635850389,-0.0034950183635131804,0.0034950183635131804
transition,balanced|tail_64_95|even,0-1 -> 0-1,0,0.0006081826984882349,0.0008809446786064698,-0.0002727619801182349,0.6903755857295082,0.0002727619801182349,0.015322248574630765,0-1,0.0006081826984882349,0.0008809446786064698,1.0,1.0,0.0,0.0
transition,balanced|tail_64_95|even,2-3 -> 0-1,1,0.0006081826984882349,0.0008809446786064698,-0.0002727619801182349,0.6903755857295082,0.0002727619801182349,0.015322248574630765,2-3,0.0010215532541275004,0.0015506547356107568,0.595350948206492,0.5681114295630044,0.027239518643487615,0.027239518643487615
transition,balanced|tail_64_95|even,2-3 -> 2-3,1,0.0004133705556392677,0.0006697100570043027,-0.00025633950136503495,0.6172380888056634,0.00025633950136503495,0.01439972520257192,2-3,0.0010215532541275004,0.0015506547356107568,0.4046490517935101,0.4318885704370056,-0.027239518643495553,0.027239518643495553
transition,balanced|tail_64_95|even,4-7 -> 2-3,2,0.0006081826984882349,0.0008809446786064698,-0.0002727619801182349,0.6903755857295082,0.0002727619801182349,0.015322248574630765,4-7,0.0017717146039009078,0.0027733526247188385,0.3432735143398133,0.31764611205752447,0.025627402282288825,0.025627402282288825
transition,balanced|tail_64_95|even,4-7 -> 4-7,2,0.0011635319054126704,0.0018924079461124443,-0.0007288760406997739,0.6148420100448758,0.0007288760406997739,0.04094419563479336,4-7,0.0017717146039009078,0.0027733526247188385,0.6567264856601853,0.6823538879425027,-0.025627402282317413,0.025627402282317413
transition,balanced|tail_64_95|even,8-15 -> 4-7,3,0.0006081826984882349,0.0008809446786064698,-0.0002727619801182349,0.6903755857295082,0.0002727619801182349,0.015322248574630765,8-15,0.0036426762759685675,0.005087140387943317,0.16696040285010572,0.1731708998427361,-0.006210496992630377,0.006210496992630377
transition,balanced|tail_64_95|even,8-15 -> 8-15,3,0.0030344935774803297,0.0042061957093369505,-0.0011717021318566208,0.7214342334914027,0.0011717021318566208,0.06581969859563915,8-15,0.0036426762759685675,0.005087140387943317,0.8330395971498935,0.8268291001572843,0.006210496992609227,0.006210496992609227
transition,balanced|tail_64_95|even,16-31 -> 16-31,4,0.006045232492685409,0.008662914816005661,-0.002617682323320252,0.6978289202978419,0.002617682323320252,0.14704681066600198,16-31,0.0066534151911736535,0.009543859494613153,0.908590899408314,0.907695133283896,0.000895766124417996,0.000895766124417996
